country,weighted_degree,betweenness,eigenvector
United States,3745.0,0.4409503843466107,0.3183509642185871
United Kingdom,3565.0,0.1443046820405311,0.4912908166268284
Spain,3250.0,0.14570230607966456,0.5028368447303656
Germany,3051.0,0.09433962264150943,0.3938348911543498
France,1888.0,0.05590496156533892,0.26792036404962205
Italy,1751.0,0.21174004192872117,0.2788142543721125
China,1731.0,0.24598183088749126,0.02923283314489313
Russia,955.0,0.3256464011180992,0.03230407251747798
Canada,810.0,0.0,0.1342716808711142
Japan,782.0,0.029350104821802933,0.03139646990336406
Mexico,742.0,0.0,0.1165131468311802
Greece,614.0,0.0,0.11668207351229036
South Korea,590.0,0.0,0.019853873381830596
Taiwan,513.0,0.0,0.0075412997783359985
Turkey,499.0,0.016771488469601678,0.09435611057156743
Portugal,482.0,0.002795248078266946,0.09977920005605372
Netherlands,471.0,0.129979035639413,0.092178211398731
Singapore,450.0,0.16422082459818307,0.0013025915171321362
United Arab Emirates,445.0,0.05730258560447239,0.0012448767239241583
Saudi Arabia,360.0,0.058700209643605866,0.0009601332154099234
